Ref,Val,Package,PosX,PosY,Rot,Side
"C162","1pF","C_0201_0603Metric",32.194999,76.725000,0.000000,bottom
"C162","1pF","C_0201_0603Metric",66.734999,160.725000,0.000000,bottom
"C162","1pF","C_0201_0603Metric",66.734999,76.725000,0.000000,bottom
"C162","1pF","C_0201_0603Metric",135.814999,34.725000,0.000000,bottom
"C163","1nF","C_0201_0603Metric",30.744999,149.265000,180.000000,bottom
"C163","1nF","C_0201_0603Metric",134.364999,107.265000,180.000000,bottom
"C163","1nF","C_0201_0603Metric",30.744999,107.265000,180.000000,bottom
"C163","1nF","C_0201_0603Metric",99.824999,107.265000,180.000000,bottom
"C163","1nF","C_0201_0603Metric",99.824999,65.265000,180.000000,bottom
"C163","1nF","C_0201_0603Metric",30.744999,23.265000,180.000000,bottom
"C163","1nF","C_0201_0603Metric",134.364999,23.265000,180.000000,bottom
"C163","1nF","C_0201_0603Metric",65.284999,65.265000,180.000000,bottom
"C163","1nF","C_0201_0603Metric",99.824999,23.265000,180.000000,bottom
"C163","1nF","C_0201_0603Metric",65.284999,107.265000,180.000000,bottom
"C163","1nF","C_0201_0603Metric",65.284999,23.265000,180.000000,bottom
"C163","1nF","C_0201_0603Metric",134.364999,149.265000,180.000000,bottom
"C163","1nF","C_0201_0603Metric",134.364999,65.265000,180.000000,bottom
"C163","1nF","C_0201_0603Metric",99.824999,149.265000,180.000000,bottom
"C163","1nF","C_0201_0603Metric",65.284999,149.265000,180.000000,bottom
"C163","1nF","C_0201_0603Metric",30.744999,65.265000,180.000000,bottom
"C164","100nF","C_0201_0603Metric",135.814999,64.725000,180.000000,bottom
"C164","100nF","C_0201_0603Metric",66.734999,64.725000,180.000000,bottom
"C164","100nF","C_0201_0603Metric",32.194999,106.725000,180.000000,bottom
"C164","100nF","C_0201_0603Metric",135.814999,22.725000,180.000000,bottom
"C164","100nF","C_0201_0603Metric",32.194999,22.725000,180.000000,bottom
"C164","100nF","C_0201_0603Metric",32.194999,148.725000,180.000000,bottom
"C164","100nF","C_0201_0603Metric",135.814999,148.725000,180.000000,bottom
"C164","100nF","C_0201_0603Metric",66.734999,148.725000,180.000000,bottom
"C164","100nF","C_0201_0603Metric",101.274999,64.725000,180.000000,bottom
"C164","100nF","C_0201_0603Metric",101.274999,22.725000,180.000000,bottom
"C164","100nF","C_0201_0603Metric",32.194999,64.725000,180.000000,bottom
"C164","100nF","C_0201_0603Metric",66.734999,22.725000,180.000000,bottom
"C164","100nF","C_0201_0603Metric",135.814999,106.725000,180.000000,bottom
"C164","100nF","C_0201_0603Metric",101.274999,106.725000,180.000000,bottom
"C164","100nF","C_0201_0603Metric",66.734999,106.725000,180.000000,bottom
"C164","100nF","C_0201_0603Metric",101.274999,148.725000,180.000000,bottom
"C165","1pF","C_0201_0603Metric",30.744999,148.725000,180.000000,bottom
"C165","1pF","C_0201_0603Metric",30.744999,64.725000,180.000000,bottom
"C165","1pF","C_0201_0603Metric",65.284999,148.725000,180.000000,bottom
"C165","1pF","C_0201_0603Metric",99.824999,106.725000,180.000000,bottom
"C165","1pF","C_0201_0603Metric",30.744999,22.725000,180.000000,bottom
"C165","1pF","C_0201_0603Metric",65.284999,64.725000,180.000000,bottom
"C165","1pF","C_0201_0603Metric",99.824999,22.725000,180.000000,bottom
"C165","1pF","C_0201_0603Metric",99.824999,64.725000,180.000000,bottom
"C165","1pF","C_0201_0603Metric",65.284999,22.725000,180.000000,bottom
"C165","1pF","C_0201_0603Metric",134.364999,22.725000,180.000000,bottom
"C165","1pF","C_0201_0603Metric",30.744999,106.725000,180.000000,bottom
"C165","1pF","C_0201_0603Metric",134.364999,148.725000,180.000000,bottom
"C165","1pF","C_0201_0603Metric",65.284999,106.725000,180.000000,bottom
