Step,ToT (s)
726,2.49349e-09
727,2.49368e-09
728,2.49387e-09
729,2.49406e-09
730,2.49425e-09
731,2.49443e-09
732,2.49462e-09
733,2.4948e-09
734,2.49499e-09
735,2.49517e-09
736,2.49535e-09
737,2.49553e-09
738,2.49571e-09
739,2.49589e-09
740,2.49607e-09
741,2.49624e-09
742,2.49642e-09
743,2.49659e-09
744,2.49677e-09
745,2.49694e-09
746,2.49711e-09
747,2.49728e-09
748,2.49745e-09
749,2.49761e-09
750,2.49778e-09
751,2.49795e-09
752,2.49811e-09
753,2.49827e-09
754,2.49843e-09
755,2.4986e-09
756,2.49876e-09
757,2.49891e-09
758,2.49907e-09
759,2.49923e-09
760,2.49938e-09
761,2.49954e-09
762,2.49969e-09
763,2.49985e-09
764,2.5e-09
765,2.50015e-09
766,2.5003e-09
767,2.50045e-09
768,2.50059e-09
769,2.50074e-09
770,2.50088e-09
771,2.50103e-09
772,2.50117e-09
773,2.50132e-09
774,2.50146e-09
775,2.5016e-09
776,2.50174e-09
777,2.50187e-09
778,2.50201e-09
779,2.50215e-09
780,2.50229e-09
781,2.50243e-09
782,2.50257e-09
783,2.5027e-09
784,2.50284e-09
785,2.50298e-09
786,2.50311e-09
787,2.50325e-09
788,2.50338e-09
789,2.50351e-09
790,2.50364e-09
791,2.50378e-09
792,2.50391e-09
793,2.50403e-09
794,2.50416e-09
795,2.50429e-09
796,2.50441e-09
797,2.50454e-09
798,2.50466e-09
799,2.50479e-09
800,2.50491e-09
801,2.50503e-09
802,2.50515e-09
803,2.50527e-09
804,2.50539e-09
805,2.50551e-09
806,2.50562e-09
807,2.50574e-09
808,2.50585e-09
809,2.50597e-09
810,2.50608e-09
811,2.50619e-09
812,2.50631e-09
813,2.50642e-09
814,2.50653e-09
815,2.50664e-09
816,2.50674e-09
817,2.50685e-09
818,2.50696e-09
819,2.50706e-09
820,2.50717e-09
821,2.50727e-09
822,2.50737e-09
823,2.50748e-09
824,2.50758e-09
825,2.50768e-09
826,2.50778e-09
827,2.50787e-09
828,2.50797e-09
829,2.50807e-09
830,2.50817e-09
831,2.50826e-09
832,2.50836e-09
833,2.50845e-09
834,2.50854e-09
835,2.50863e-09
836,2.50873e-09
837,2.50882e-09
838,2.50891e-09
839,2.50899e-09
840,2.50908e-09
841,2.50917e-09
842,2.50926e-09
843,2.50934e-09
844,2.50943e-09
845,2.50951e-09
846,2.50959e-09
847,2.50968e-09
848,2.50976e-09
849,2.50984e-09
850,2.50992e-09
851,2.51e-09
852,2.51008e-09
853,2.51015e-09
854,2.51023e-09
855,2.51031e-09
856,2.51038e-09
857,2.51046e-09
858,2.51053e-09
859,2.51061e-09
860,2.51068e-09
861,2.51076e-09
862,2.51084e-09
863,2.51091e-09
864,2.51099e-09
865,2.51106e-09
866,2.51114e-09
867,2.51121e-09
868,2.51128e-09
869,2.51136e-09
870,2.51143e-09
871,2.5115e-09
872,2.51157e-09
873,2.51163e-09
874,2.5117e-09
875,2.51177e-09
876,2.51184e-09
877,2.5119e-09
878,2.51197e-09
879,2.51203e-09
880,2.51209e-09
881,2.51216e-09
